2021-10-13 23:39:34.973 INFO  Logging to 'C:\Projects\NServiceBus\NServiceBus\Ecommerce\Ecommerce.Application\bin\Debug\net5.0\' with level Info
2021-10-13 23:46:11.684 INFO  Press 'P' to place an order, or 'Q' to quit.
2021-10-13 23:46:11.692 INFO  Sending InitiateOrder command, TransactionId = 959a7889-5787-41d3-b0ad-575d56f91cfd and OrderId = 0001
2021-10-13 23:46:11.714 INFO  Press 'P' to place an order, or 'Q' to quit.
2021-10-13 23:46:11.722 INFO  Sending InitiateOrder command, TransactionId = c540ca23-a281-4444-a3dd-2184e7abf054 and OrderId = 0001
2021-10-13 23:46:11.742 INFO  Press 'P' to place an order, or 'Q' to quit.
2021-10-13 23:46:11.751 INFO  Sending InitiateOrder command, TransactionId = d0f47b7b-ff3b-4b6b-9b43-b1536cfbc5d5 and OrderId = 0001
2021-10-13 23:46:11.771 INFO  Press 'P' to place an order, or 'Q' to quit.
2021-10-13 23:46:11.779 INFO  Sending InitiateOrder command, TransactionId = f6c41a0d-fb49-4ac7-9e31-c6f9e38834e3 and OrderId = 0001
2021-10-13 23:46:11.802 INFO  Press 'P' to place an order, or 'Q' to quit.
2021-10-13 23:46:11.810 INFO  Sending InitiateOrder command, TransactionId = d312706a-6b13-4184-b9cb-3b03e73c5893 and OrderId = 0001
2021-10-13 23:46:11.836 INFO  Press 'P' to place an order, or 'Q' to quit.
2021-10-13 23:46:11.844 INFO  Sending InitiateOrder command, TransactionId = 8a109a2f-67bc-4ed1-8d28-2190296324a5 and OrderId = 0001
2021-10-13 23:46:11.865 INFO  Press 'P' to place an order, or 'Q' to quit.
2021-10-13 23:46:11.873 INFO  Sending InitiateOrder command, TransactionId = 9953f8a4-2b00-491f-831f-c3b15ff3756f and OrderId = 0001
2021-10-13 23:46:11.896 INFO  Press 'P' to place an order, or 'Q' to quit.
2021-10-13 23:46:11.903 INFO  Sending InitiateOrder command, TransactionId = e0fbf163-d6e9-4050-ba73-3d4470504722 and OrderId = 0001
2021-10-13 23:46:11.922 INFO  Press 'P' to place an order, or 'Q' to quit.
2021-10-13 23:46:11.927 INFO  Sending InitiateOrder command, TransactionId = 679cf4fa-6e55-4c21-9881-a8c422ee5c7f and OrderId = 0001
2021-10-13 23:46:11.942 INFO  Press 'P' to place an order, or 'Q' to quit.
2021-10-13 23:46:11.948 INFO  Sending InitiateOrder command, TransactionId = ec0adbac-4809-4d35-8d59-71138c75bf15 and OrderId = 0001
2021-10-13 23:46:11.964 INFO  Press 'P' to place an order, or 'Q' to quit.
2021-10-13 23:46:11.970 INFO  Sending InitiateOrder command, TransactionId = 45a8257f-f9cb-4d86-819e-8c1290a5668c and OrderId = 0001
2021-10-13 23:46:11.986 INFO  Press 'P' to place an order, or 'Q' to quit.
2021-10-13 23:46:11.992 INFO  Sending InitiateOrder command, TransactionId = 4483573c-426f-4d05-975b-ca571ea17922 and OrderId = 0001
2021-10-13 23:46:12.008 INFO  Press 'P' to place an order, or 'Q' to quit.
2021-10-13 23:46:12.019 INFO  Sending InitiateOrder command, TransactionId = 76d5b4c8-868f-4951-8565-334a28c0e1a4 and OrderId = 0001
2021-10-13 23:46:12.037 INFO  Press 'P' to place an order, or 'Q' to quit.
2021-10-13 23:46:12.044 INFO  Sending InitiateOrder command, TransactionId = d6e180b6-9914-40fd-a066-a9838d655c92 and OrderId = 0001
2021-10-13 23:46:12.063 INFO  Press 'P' to place an order, or 'Q' to quit.
2021-10-13 23:46:12.071 INFO  Sending InitiateOrder command, TransactionId = 5b35b234-6593-47d1-aa9b-74065b06f13a and OrderId = 0001
2021-10-13 23:46:12.091 INFO  Press 'P' to place an order, or 'Q' to quit.
2021-10-13 23:46:12.099 INFO  Sending InitiateOrder command, TransactionId = 5790a5f3-0e3e-4155-bccb-4f0cd8e626a6 and OrderId = 0001
2021-10-13 23:46:12.126 INFO  Press 'P' to place an order, or 'Q' to quit.
2021-10-13 23:46:12.136 INFO  Sending InitiateOrder command, TransactionId = c1f7efc3-dcae-475d-a07d-734cfb11c2b4 and OrderId = 0001
2021-10-13 23:46:12.152 INFO  Press 'P' to place an order, or 'Q' to quit.
2021-10-13 23:46:12.158 INFO  Sending InitiateOrder command, TransactionId = df4179f4-d289-48c7-af53-10352a4fe34f and OrderId = 0001
2021-10-13 23:46:12.182 INFO  Press 'P' to place an order, or 'Q' to quit.
2021-10-13 23:46:12.192 INFO  Sending InitiateOrder command, TransactionId = 0e536af8-605e-474a-97f2-f21f998555ec and OrderId = 0001
2021-10-13 23:46:12.220 INFO  Press 'P' to place an order, or 'Q' to quit.
2021-10-13 23:46:12.231 INFO  Sending InitiateOrder command, TransactionId = eeb595ee-2b6e-436b-8e4b-99769c0c91c2 and OrderId = 0001
2021-10-13 23:46:12.271 INFO  Press 'P' to place an order, or 'Q' to quit.
2021-10-13 23:46:12.285 INFO  Sending InitiateOrder command, TransactionId = d909ebb7-7bea-4647-92b1-288b035ea429 and OrderId = 0001
2021-10-13 23:46:12.310 INFO  Press 'P' to place an order, or 'Q' to quit.
2021-10-13 23:46:12.326 INFO  Sending InitiateOrder command, TransactionId = 9ffe28dc-520c-4662-817e-9f5f72649853 and OrderId = 0001
2021-10-13 23:46:12.396 INFO  Press 'P' to place an order, or 'Q' to quit.
2021-10-13 23:46:12.409 INFO  Sending InitiateOrder command, TransactionId = ecbbe5d4-b5c4-4e22-a9d1-56883280ad9d and OrderId = 0001
2021-10-13 23:46:12.443 INFO  Press 'P' to place an order, or 'Q' to quit.
2021-10-13 23:46:12.475 INFO  Sending InitiateOrder command, TransactionId = 6d2b6bf4-6550-4e99-a33c-68546f37e82e and OrderId = 0001
2021-10-13 23:46:12.518 INFO  Press 'P' to place an order, or 'Q' to quit.
